年度,洲別,國別,總人數,iso_alpha
109,亞洲,越南,0,VNM
109,亞洲,馬來西亞,346,MYS
109,亞洲,印尼,48,IDN
109,亞洲,印度,20,IND
109,亞洲,土耳其,28,TUR
109,亞洲,菲律賓,66,PHL
109,亞洲,新加坡,41,SGP
109,亞洲,阿曼,1,OMN
109,亞洲,蒙古,1,MNG
109,亞洲,約旦,6,JOR
109,大洋洲,澳大利亞,18439,AUS
109,大洋洲,紐西蘭,1300,NZL
109,大洋洲,斐濟,1,FJI
109,大洋洲,帛琉,10,PLW
109,非洲,奈及利亞,2,NGA
